"covar_continua";"covar_discreta";"covar_binaria";"resposta"
0,148148921748024;55;0;0
-0,470342950807518;42;0;0
0,138881641672002;45;0;0
-0,963530461081251;52;1;0
0,824599656361858;40;1;0
0,406230433664728;38;0;0
1,32810141259711;36;0;0
2,3348476880238;37;0;1
0,14978495396366;39;0;0
-2,64257533560657;41;1;0
-0,526337029307656;45;1;0
0,648160755072049;41;0;0
0,353217678890313;58;1;0
-2,47619461016112;45;1;0
0,797423854027427;37;0;0
1,147605595107;37;0;0
-1,41377641338938;43;1;0
1,55285946920392;47;0;0
-0,519723293954458;36;0;0
-1,1090129700045;36;1;0
1,78937260237414;43;0;0
1,2382173988143;36;0;0
-0,136001027613605;46;0;0
0,483956196016706;35;0;0
1,74259395476313;37;1;0
0,307668628597615;41;0;0
0,602467696746582;31;0;0
2,16251787823616;36;1;0
-1,76185129297415;39;0;0
-0,920541711240018;36;1;0
-0,366119825240606;33;0;0
1,02094309341013;40;0;0
-0,397879842368145;38;0;0
-0,775189484071135;44;1;0
1,1026415425087;32;1;0
0,419829882558647;40;1;0
-2,44958402298327;35;1;0
1,51471920216619;41;1;0
2,36378181845043;31;0;1
0,0870167317790461;38;1;0
0,466048057380464;50;1;0
-0,318297072774419;41;1;0
-1,62526723605695;51;0;0
-1,04668504470577;43;0;0
-0,657460240944259;45;1;0
-0,534704255537941;34;1;0
-0,666925630453106;43;0;0
0,00757117046492194;42;1;0
-0,573515659897212;42;0;0
-0,755119527786758;37;1;0
-1,40198777493892;30;0;0
0,29572914710225;40;0;0
1,90095609066082;32;0;1
-0,260506348630598;39;1;0
0,236846342957052;39;1;0
-0,132509895239307;39;0;0
0,89505790227261;41;1;0
-0,483243370951296;41;0;0
-0,107914518950079;43;0;0
0,389178561019515;39;1;0
0,642425661712422;37;0;0
1,14414199614327;48;0;0
-1,11042486481083;40;0;0
0,859977166573768;42;0;0
0,659361530883792;40;1;0
0,113953102301781;44;1;0
-1,55069469693854;33;0;0
0,668519078322472;29;0;0
0,133881124876392;38;0;0
-0,81378323267612;50;0;0
0,340281551429157;47;1;0
-1,35810669541567;49;1;0
1,13168858441242;30;0;0
0,616874275358863;42;0;0
0,519408415121315;47;0;0
1,06374231732555;41;0;0
0,0837019764093908;34;1;0
-0,0254199917293439;40;1;0
-0,73798688308815;40;0;0
0,219390376656716;47;0;0
0,102863946313686;41;1;0
0,273413965693309;46;1;0
-0,137107179507131;30;0;0
0,0774402498176246;50;1;0
-1,28678061853958;47;0;0
-0,184722551247865;52;0;0
-0,501042697775428;36;0;0
-1,10798879897439;37;0;0
-2,6776328845717;40;0;0
-0,21948077460906;36;0;0
1,76603710397876;36;1;0
-1,05556811161023;34;0;0
-1,0082374077931;36;0;0
-0,631139081458397;45;0;0
-0,465198243392143;49;0;0
-1,60784595116497;39;0;0
0,64489237789204;35;0;0
-0,444599844186279;36;0;0
0,609097469080972;53;1;0
-0,709848871395443;38;1;0
-0,169553133397294;45;1;0
-0,627116374562885;48;0;0
1,08071456794215;38;1;0
0,225766428256915;47;1;0
-0,135141115953233;52;1;0
-1,29508168833244;43;1;0
-0,364459828628151;40;0;0
0,0254547662896995;40;0;0
-0,588045238045176;40;0;0
2,13666129285066;39;1;0
-1,20132473912271;42;1;0
-0,204841448935861;44;1;0
1,02850382696947;43;0;0
-0,499384781826937;30;1;0
1,14447201474393;47;1;0
0,0737461759531925;47;1;0
0,949665737669822;43;1;0
0,13585813611473;27;1;0
0,632691217164866;45;1;0
-0,0497933708648755;35;0;0
-1,07259573243285;30;0;0
0,173668806440277;48;1;0
-1,98342629108818;49;1;0
0,132372098168866;34;0;0
-0,936557645698165;46;1;0
0,561663401287503;36;0;0
1,3794980631117;38;1;0
-0,0983608938407913;35;0;0
-1,647016569982;44;0;0
-2,69010689343368;50;1;0
-0,0045584398134211;52;0;0
-1,37230916014841;32;0;0
1,31707023276633;43;0;0
-0,186409778811374;42;1;0
0,0389348840166013;42;0;0
-0,876243647938646;45;0;0
-0,844152977902817;37;0;0
0,800798809562227;40;0;1
-0,264166660962982;51;0;0
1,82045335848218;41;1;0
-1,98577232424877;47;0;0
-0,151463084055846;44;1;0
0,124787328478098;28;1;0
-0,924038036775079;41;1;0
0,739852725645802;42;1;0
-0,30874807455393;25;0;0
-0,111852918886433;38;0;0
-1,18870931242349;36;1;0
-0,0248237793310784;37;1;0
-0,97356331866369;44;0;0
0,384155360904483;49;1;0
-0,658348665057964;35;1;0
1,13121019200747;26;0;0
-1,39901172413274;47;0;0
1,46884757203416;42;0;0
1,30845842814256;30;0;0
-1,35514518475215;42;0;0
0,465248592561733;38;1;0
-0,174192114531506;44;0;0
0,539021321280463;39;0;0
-0,595881707377408;28;1;0
